"","등록번호","조사기관","조사의뢰자","시작일","종료일"
"1",8331,"코리아리서치인터내셔널","MBC",2021-11-06,2021-11-07
"2",8328,"리서치뷰","리서치뷰",2021-11-06,2021-11-07
"3",8319,"넥스트리서치","SBS",2021-11-06,2021-11-07
"4",8316,"입소스","한국경제신문",2021-11-06,2021-11-07
"5",8313,"한국리서치","KBS",2021-11-05,2021-11-07
