"","등록번호","조사기관","조사의뢰자","시작일","종료일"
"1",8364,"PNR·피플네트웍스","뉴데일리",2021-11-19,2021-11-20
"2",8359,"알앤써치","태평양신문",2021-11-17,2021-11-18
"3",8358,"케이스탯리서치","전국지표조사(NBS)",2021-11-15,2021-11-17
