"","등록번호","조사기관","조사의뢰자","시작일","종료일"
"1",8358,"케이스탯리서치","전국지표조사(NBS)",2021-11-15,2021-11-17
"2",8341,"코리아리서치인터내셔널","전국지표조사(NBS)",2021-11-08,2021-11-10
"3",8335,"한국갤럽","머니투데이",2021-11-08,2021-11-09
