"","등록번호","조사기관","조사의뢰자","시작일","종료일"
"1",8838,"PNR·피플네트웍스","프라임경제신문",2022-02-02,2022-02-03
"2",8837,"리서치뷰","UPI뉴스",2022-02-01,2022-02-03
"3",8828,"서던포스트","CBS",2022-01-28,2022-01-29
"4",8807,"PNR·피플네트웍스","프라임경제신문",2022-01-26,2022-01-27
"5",8800,"리서치뷰","UPI뉴스",2022-01-25,2022-01-27
