"","등록번호","조사기관","조사의뢰자","시작일","종료일"
"1",8848,"서던포스트","CBS",2022-02-04,2022-02-05
"2",8844,"한국사회여론연구소(KSOI)","국민일보",2022-02-03,2022-02-04
"3",8843,"리얼미터","오마이뉴스",2022-02-02,2022-02-04
"4",8838,"PNR·피플네트웍스","프라임경제신문",2022-02-02,2022-02-03
"5",8837,"리서치뷰","UPI뉴스",2022-02-01,2022-02-03
"6",8828,"서던포스트","CBS",2022-01-28,2022-01-29
